id,citation_number,citation_date,first_name,last_name,date_of_birth,defendant_address,defendant_city,defendant_state,drivers_license_number,court_date,court_location,court_address
24,635879199,5/20/2015 0:00,Jimmy,Woods,3/31/1971 0:00,3 Shoshone Trail,BELLEFONTAINE NEIGHBORS,MO,Z734750542,9/20/2015 0:00,ST. LOUIS CITY,200 Highlands Blvd. Dr.
25,349206782,6/22/2015 0:00,Raymond,Griffin,6/18/1982 0:00,2 Anthes Alley,BRENTWOOD,MO,I949145193,9/20/2015 0:00,MARYLAND HEIGHTS,11911 Dorsett Road
26,279766905,6/19/2015 0:00,Anthony,Crawford,8/6/1977 0:00,17 High Crossing Crossing,RIVERVIEW,MO,W300723341,10/16/2015 0:00,FLORDELL HILLS,7001 Brandon Avenue
27,875184804,1/30/2015 0:00,Pamela,West,2/18/1962 0:00,0338 Lindbergh Place,VINITA PARK,,,12/2/2015 0:00,GLENDALE,424 North Sappington Road
28,669369002,2/8/2015 0:00,George,Nguyen,3/1/1977 0:00,608 Oak Park,PASADENA HILLS,,C752351651,11/14/2015 0:00,HAZELWOOD,415 Elm Grove Lane
29,637958463,6/11/2015 0:00,Julie,Gardner,3/29/1961 0:00,,HAZELWOOD,MO,,10/13/2015 0:00,VALLEY PARK,320 Benton Street
30,829873771,6/24/2015 0:00,Jessica,Stephens,4/30/1979 0:00,47 Jay Way,FLORDELL HILLS,MO,U681077853,11/22/2015 0:00,NORTHWOODS,4600 Oakridge Boulevard
31,76448981,4/11/2015 0:00,Jessica,Stephens,4/30/1979 0:00,47 Jay Way,FLORDELL HILLS,MO,U681077853,10/15/2015 0:00,COOL VALLEY,100 Signal Drive
32,36726340,2/9/2015 0:00,Jessica,Stephens,4/30/1979 0:00,47 Jay Way,FLORDELL HILLS,MO,U681077853,12/11/2015 0:00,BERKELEY 1,6120 Madison
33,46995189,3/3/2015 0:00,Justin,Hughes,8/24/1983 0:00,33009 Arrowood Alley,BELLEFONTAINE NEIGHBORS,MO,T958584005,12/8/2015 0:00,COOL VALLEY,100 Signal Drive
34,655502298,6/26/2015 0:00,Phillip,Harper,9/7/1962 0:00,5 Montana Place,JENNINGS,,O089233532,9/21/2015 0:00,BRENTWOOD,2348 South Brentwood Boulevard
35,349262251,5/19/2015 0:00,Henry,Sanders,10/20/1962 0:00,2758 Prairie Rose Avenue,CRYSTAL LAKE PARK,MO,S761105361,11/22/2015 0:00,WOODSON TERRACE,4323 Woodson Road
36,337181558,4/27/2015 0:00,Howard,Butler,7/16/1952 0:00,645 Sutherland Point,CRESTWOOD,MO,E938173438,12/20/2015 0:00,DES PERES,12325 Manchester Road
37,771125683,5/21/2015 0:00,Howard,Butler,7/16/1952 0:00,645 Sutherland Point,CRESTWOOD,MO,E938173438,12/23/2015 0:00,BRIDGETON,12355 Natural Bridge Road
38,899648918,4/25/2015 0:00,Howard,Butler,7/16/1952 0:00,645 Sutherland Point,CRESTWOOD,MO,E938173438,10/22/2015 0:00,ST. LOUIS CITY,975 Pennsylvania Avenue
39,624000979,4/4/2015 0:00,Howard,Butler,7/16/1952 0:00,645 Sutherland Point,CRESTWOOD,MO,E938173438,9/21/2015 0:00,OAKLAND,1320 W. Lockwood Avenue
40,88252505,6/8/2015 0:00,Howard,Butler,7/16/1952 0:00,645 Sutherland Point,CRESTWOOD,MO,E938173438,12/25/2015 0:00,WARSON WOODS,10015 Manchester Road
41,599139476,8/13/2015 0:00,Donald,Robertson,10/17/1988 0:00,6 Jay Center,RIVERVIEW,MO,Z090024506,10/29/2015 0:00,VINITA PARK,8374 Midland Boulevard
42,89246410,4/22/2015 0:00,Peter,Gonzales,4/8/1986 0:00,12982 Talisman Circle,WILBUR PARK,MO,I915840812,9/29/2015 0:00,VINITA PARK,8374 Midland Boulevard
43,224377371,4/17/2015 0:00,Anthony,Smith,5/6/1996 0:00,80 Welch Point,MACKENZIE,MO,N932894791,12/4/2015 0:00,PASADENA PARK,7615 South Sunset
44,217640997,8/10/2015 0:00,Brenda,Wallace,5/9/1954 0:00,0885 John Wall Lane,PASADENA PARK,MO,X235641617,10/28/2015 0:00,VALLEY PARK,320 Benton Street
45,228416374,6/25/2015 0:00,Eric,Olson,7/10/1965 0:00,1 Delladonna Circle,CRYSTAL LAKE PARK,MO,A594762482,11/25/2015 0:00,WELLSTON,1414 Evergreen
46,450375613,3/24/2015 0:00,Carol,Fisher,8/21/1976 0:00,4 Moulton Terrace,MARYLAND HEIGHTS,MO,N525607908,11/15/2015 0:00,VELDA CITY,2560 Lucas & Hunt Road
47,680192550,5/9/2015 0:00,Marie,Hansen,2/6/1958 0:00,5 Cordelia Park,ST. ANN,MO,H650942231,12/9/2015 0:00,WINCHESTER,109 Lindy Boulevard
48,621322276,1/31/2015 0:00,Brenda,Peterson,5/18/1987 0:00,1 Clemons Terrace,ST. ANN,,S878479512,10/11/2015 0:00,FRONTENAC,10555 Clayton Road
49,660834889,1/4/2015 0:00,Brenda,Peterson,5/18/1987 0:00,1 Clemons Terrace,ST. ANN,,S878479512,9/28/2015 0:00,UNINCORPORATED CENTRAL ST. LOUIS COUNTY,7900 Carondelet Avenue
50,980107615,4/16/2015 0:00,Brenda,Peterson,5/18/1987 0:00,1 Clemons Terrace,ST. ANN,,S878479512,12/13/2015 0:00,KINLOCH,8140 Scott
51,672747832,1/28/2015 0:00,Phillip,Elliott,8/29/1975 0:00,42722 Stoughton Street,TWIN OAKS,MO,,10/10/2015 0:00,PACIFIC,300 Hoven Drive
52,224822416,5/17/2015 0:00,Arthur,Cox,4/6/1994 0:00,,KINLOCH,MO,B891387545,9/17/2015 0:00,ROCK HILL,320 West Thornton Avenue
53,296511599,4/1/2015 0:00,Janet,Rodriguez,4/11/1992 0:00,5 Meadow Ridge Alley,HANLEY HILLS,MO,K436519480,,FLORISSANT,315 Howdershell Road
54,655665428,6/4/2015 0:00,Craig,Riley,11/18/1960 0:00,107 Ruskin Center,MACKENZIE,MO,N183851337,10/3/2015 0:00,WELLSTON,1414 Evergreen
55,939493541,7/28/2015 0:00,Laura,Lawrence,6/13/1978 0:00,3 Drewry Crossing,ST. ANN,MO,,12/13/2015 0:00,VINITA PARK,8374 Midland Boulevard
56,788582431,8/26/2015 0:00,Debra,Stevens,3/20/1979 0:00,85609 Oriole Road,KINLOCH,MO,M061054443,,SYCAMORE HILLS,8944 St. Charles Rock Road
57,647562604,6/11/2015 0:00,Jessica,Gutierrez,9/23/1995 0:00,4880 Magdeline Terrace,,MO,D291775596,9/16/2015 0:00,CRESTWOOD,1 Detjen Drive
58,63400178,1/18/2015 0:00,Andrew,White,,,PACIFIC,MO,H758077813,11/25/2015 0:00,LADUE,9435 Clayton Road
59,880601134,7/9/2015 0:00,Anthony,Wallace,7/12/1971 0:00,51248 Killdeer Street,,MO,B648960244,10/28/2015 0:00,LADUE,9435 Clayton Road
60,426990059,1/12/2015 0:00,Carol,Lee,9/9/1969 0:00,2429 Kropf Court,CRYSTAL LAKE PARK,MO,V557857325,10/12/2015 0:00,COUNTRY CLUB HILLS,7422 Eunice Avenue
61,757827312,3/26/2015 0:00,Donald,Gordon,11/26/1984 0:00,,UPLANDS PARK,MO,Q370448403,9/17/2015 0:00,SUNSET HILLS,3939 South Lindbergh
62,337299494,7/30/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,F334643862,11/30/2015 0:00,PASADENA PARK,7615 South Sunset
63,380783968,8/11/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,,11/19/2015 0:00,ST. ANN,10405 St. Charles Rock Road
64,853993851,1/26/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,F334643862,12/29/2015 0:00,OAKLAND,1320 W. Lockwood Avenue
65,268766678,2/12/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,F334643862,10/10/2015 0:00,FRONTENAC,10555 Clayton Road
66,48706444,6/9/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,,9/14/2015 0:00,ST. ANN,10405 St. Charles Rock Road
67,887990473,5/31/2015 0:00,Sandra,Young,5/1/1955 0:00,153 Annamark Court,BRECKENRIDGE HILLS,MO,F334643862,9/25/2015 0:00,KINLOCH,8140 Scott
68,153256595,1/25/2015 0:00,Sandra,Young,,94054 Hagan Hill,CREVE COEUR,MO,O176840716,10/14/2015 0:00,GLENDALE,424 North Sappington Road
69,628336714,1/27/2015 0:00,Kevin,Mcdonald,2/17/1971 0:00,860 Northridge Way,BRENTWOOD,MO,E116476847,10/20/2015 0:00,BELLA VILLA,751 Avenue H
70,141666448,3/2/2015 0:00,Emily,Crawford,8/6/1953 0:00,6838 Jay Court,BLACK JACK,MO,R749121157,12/16/2015 0:00,LAKESHIRE,10000 Puttington Drive
71,617035529,,Marie,Oliver,5/16/1995 0:00,338 Riverside Court,WINCHESTER,,O564114586,12/21/2015 0:00,HAZELWOOD,415 Elm Grove Lane
72,692594436,3/22/2015 0:00,Diana,Wagner,3/4/1952 0:00,9426 Lien Pass,ST. LOUIS CITY,MO,X815292854,10/10/2015 0:00,BERKELEY 2,6140 N Hanley Road
73,869304887,,Teresa,Mccoy,6/26/1972 0:00,8 Troy Circle,MARYLAND HEIGHTS,MO,,11/18/2015 0:00,WILDWOOD,16860 Main Street
74,944385681,5/10/2015 0:00,Cheryl,Castillo,1/2/1970 0:00,10418 Mandrake Pass,WEBSTER GROVES,MO,U806930371,11/15/2015 0:00,OVERLAND,2410 Goodale Avenue
75,613399685,1/10/2015 0:00,Susan,Ford,4/20/1968 0:00,1 Thierer Lane,BRECKENRIDGE HILLS,MO,Z959599316,12/15/2015 0:00,UNINCORPORATED CENTRAL ST. LOUIS COUNTY,7900 Carondelet Avenue
76,812785400,1/25/2015 0:00,Stephen,Reyes,12/26/1982 0:00,6574 Portage Place,OLIVETTE,MO,V246682076,9/25/2015 0:00,CHESTERFIELD,690 Chesterfield Parkway West
77,594887977,1/9/2015 0:00,Jonathan,Mills,1/2/1963 0:00,30225 Boyd Place,PASADENA PARK,MO,F392250641,11/13/2015 0:00,,
78,288670939,7/25/2015 0:00,Patrick,Weaver,11/18/1985 0:00,673 Ridge Oak Trail,HANLEY HILLS,MO,Q722588049,10/8/2015 0:00,DELLWOOD,1415 Chambers Road
79,818469837,4/24/2015 0:00,Patrick,Weaver,11/18/1985 0:00,673 Ridge Oak Trail,HANLEY HILLS,MO,Q722588049,11/30/2015 0:00,MOLINE ACRES,2449 Chambers Road
80,479619063,5/13/2015 0:00,Patrick,Weaver,11/18/1985 0:00,673 Ridge Oak Trail,HANLEY HILLS,MO,Q722588049,10/13/2015 0:00,TOWN AND COUNTRY,1011 Municipal Center Drive
81,54286479,2/22/2015 0:00,Marilyn,Torres,2/18/1975 0:00,1 Sommers Trail,MOLINE ACRES,MO,R910221512,12/26/2015 0:00,PACIFIC,300 Hoven Drive
82,393662026,6/6/2015 0:00,Timothy,Williamson,1/28/1987 0:00,65081 Dwight Street,GREENDALE,MO,Z549689732,10/28/2015 0:00,DELLWOOD,1415 Chambers Road
83,2423226,1/22/2015 0:00,Harry,Reed,12/9/1983 0:00,55005 Stang Crossing,CHAMP,MO,I936510249,11/30/2015 0:00,ST. LOUIS CITY,7700 Natural Bridge Road
84,811592288,2/14/2015 0:00,Rachel,Ray,3/21/1986 0:00,057 Bashford Hill,NORTHWOODS,MO,U960595854,11/9/2015 0:00,,
85,686272931,4/28/2015 0:00,Brandon,Marshall,4/5/1986 0:00,2526 Talmadge Hill,BRIDGETON,MO,T867547897,11/8/2015 0:00,RIVERVIEW,9699 Lilac Drive
86,767079087,7/2/2015 0:00,Andrea,Dixon,6/21/1965 0:00,7 Northview Center,WINCHESTER,MO,P498389750,12/11/2015 0:00,CHARLACK,8401 Midland Boulevard
87,454325024,3/22/2015 0:00,Tammy,Gardner,4/27/1988 0:00,,SUNSET HILLS,MO,M105816242,9/21/2015 0:00,CLARKSON VALLEY,15933 Clayton Road
88,985175654,3/18/2015 0:00,Willie,Bailey,5/4/1957 0:00,2 Dahle Drive,,MO,S199664659,11/19/2015 0:00,GREENDALE,7700 Natural Bridge Road
89,801921834,6/19/2015 0:00,Samuel,Burke,9/16/1969 0:00,3038 Lunder Street,PAGEDALE,MO,M897671001,11/8/2015 0:00,BALLWIN,300 Park Drive
90,872461615,3/5/2015 0:00,Patricia,Fields,1/10/1972 0:00,56099 Reinke Parkway,PINE LAWN,MO,I486054826,10/27/2015 0:00,HILLSDALE,6428 Jesse Jackson Avenue
91,747199692,6/18/2015 0:00,Sandra,Hunter,6/5/1981 0:00,9 Orin Parkway,NORWOOD COURT,,H233189734,11/29/2015 0:00,BELLA VILLA,751 Avenue H
92,570606082,9/9/2015 0:00,Sean,Matthews,9/15/1985 0:00,4294 Valley Edge Street,GREEN PARK,MO,R225846000,11/9/2015 0:00,CHESTERFIELD,690 Chesterfield Parkway West
93,949657343,1/5/2015 0:00,Sean,Matthews,9/15/1985 0:00,4294 Valley Edge Street,,MO,R225846000,,COUNTRY CLUB HILLS,7422 Eunice Avenue
94,225257542,2/16/2015 0:00,Sean,Matthews,9/15/1985 0:00,4294 Valley Edge Street,GREEN PARK,MO,,11/6/2015 0:00,NORMANDY,7700 Natural Bridge Road
95,854453057,8/23/2015 0:00,Sara,Berry,11/20/1982 0:00,,PASADENA HILLS,MO,R339448194,11/16/2015 0:00,DELLWOOD,1415 Chambers Road
96,205052499,5/12/2015 0:00,Maria,Reyes,12/2/1970 0:00,8 Twin Pines Parkway,MAPLEWOOD,MO,E948416627,10/6/2015 0:00,,
97,442251055,7/21/2015 0:00,Anne,Thompson,10/4/1962 0:00,2 Darwin Hill,SHREWSBURY,MO,M508715560,10/1/2015 0:00,CLAYTON,10 South Brentwood Boulevard
98,487546331,8/19/2015 0:00,Harold,Henry,3/14/1952 0:00,,NORWOOD COURT,MO,V685553779,9/21/2015 0:00,PASADENA PARK,7615 South Sunset
99,900147306,2/4/2015 0:00,Dennis,Jenkins,6/14/1982 0:00,9 Dryden Street,BRIDGETON,MO,I189860496,10/13/2015 0:00,BALLWIN,300 Park Drive
100,592008358,3/9/2015 0:00,Donna,Hayes,12/15/1963 0:00,740 Reinke Drive,LADUE,MO,V174258724,11/16/2015 0:00,DES PERES,12325 Manchester Road
101,30692900,1/11/2015 0:00,Kelly,Banks,10/26/1952 0:00,68 Di Loreto Alley,NORMANDY,MO,F629953912,9/21/2015 0:00,PINE LAWN,6250 Steve Marve Avenue
102,743391684,8/3/2015 0:00,Jimmy,Nguyen,3/27/1983 0:00,5 Harper Court,WINCHESTER,MO,M119574189,12/15/2015 0:00,VALLEY PARK,320 Benton Street
103,91204163,5/28/2015 0:00,Donna,Hunter,7/4/1978 0:00,687 Columbus Road,OAKLAND,MO,B708646386,,WOODSON TERRACE,4323 Woodson Road
104,159938715,7/21/2015 0:00,Lisa,Hawkins,2/11/1979 0:00,939 Reindahl Terrace,WILBUR PARK,MO,A978973252,11/5/2015 0:00,MARYLAND HEIGHTS,11911 Dorsett Road
105,590092744,3/7/2015 0:00,Walter,Russell,8/18/1970 0:00,883 East Court,FERGUSON,MO,M872670042,11/4/2015 0:00,CHARLACK,8401 Midland Boulevard
106,244822638,7/10/2015 0:00,Randy,Boyd,5/1/1951 0:00,85 Elka Alley,ST. GEORGE,MO,A545251822,11/7/2015 0:00,GREENDALE,7700 Natural Bridge Road
107,589163075,6/4/2015 0:00,Wayne,Chapman,7/20/1951 0:00,17912 Gerald Terrace,RIVERVIEW,MO,A326414981,11/9/2015 0:00,NORTHWOODS,4600 Oakridge Boulevard
108,50496603,7/3/2015 0:00,Randy,Garza,9/20/1955 0:00,9861 Gulseth Avenue,CALVERTON PARK,MO,E796870199,9/30/2015 0:00,FERGUSON,110 Church Street
109,519013106,9/9/2015 0:00,Diana,Mason,4/11/1983 0:00,632 Oxford Drive,,MO,Q801382705,9/30/2015 0:00,,
110,365791118,5/1/2015 0:00,Donna,Torres,7/29/1986 0:00,0720 Melody Street,MANCHESTER,MO,U547173025,10/19/2015 0:00,MAPLEWOOD,7601 Manchester Road
111,300298410,8/8/2015 0:00,Bonnie,Fox,12/31/1995 0:00,06 Vahlen Lane,MARLBOROUGH,MO,L526278813,12/29/2015 0:00,KIRKWOOD,139 S. Kirkwood Road
112,956760641,7/12/2015 0:00,Richard,Murray,7/3/1968 0:00,5 Grasskamp Parkway,SYCAMORE HILLS,MO,O273031566,12/19/2015 0:00,FLORDELL HILLS,7001 Brandon Avenue
113,389978436,1/7/2015 0:00,Richard,Murray,7/3/1968 0:00,5 Grasskamp Parkway,SYCAMORE HILLS,MO,,12/24/2015 0:00,OLIVETTE,9473 Olive Boulevard
114,891684694,7/3/2015 0:00,Richard,Murray,7/3/1968 0:00,5 Grasskamp Parkway,SYCAMORE HILLS,MO,O273031566,11/16/2015 0:00,ST. LOUIS CITY,10015 Manchester Road
115,361808293,5/13/2015 0:00,Richard,Murray,7/3/1968 0:00,,SYCAMORE HILLS,MO,O273031566,10/24/2015 0:00,CHARLACK,8401 Midland Boulevard
116,247227999,8/21/2015 0:00,Richard,Murray,,5 Grasskamp Parkway,SYCAMORE HILLS,MO,O273031566,11/1/2015 0:00,UNINCORPORATED CENTRAL ST. LOUIS COUNTY,7900 Carondelet Avenue
117,853884679,7/20/2015 0:00,Richard,Murray,7/3/1968 0:00,5 Grasskamp Parkway,SYCAMORE HILLS,MO,O273031566,10/2/2015 0:00,NORMANDY,7700 Natural Bridge Road
118,839975678,8/5/2015 0:00,Chris,Morales,9/3/1976 0:00,021 Pleasure Point,MAPLEWOOD,MO,,11/20/2015 0:00,CREVE COEUR,300 North New Ballas Road
119,525224512,5/24/2015 0:00,Kathleen,Fox,5/25/1976 0:00,,FRONTENAC,MO,P352099239,11/2/2015 0:00,VINITA TERRACE,8027 Page Boulevard
120,671972435,1/12/2015 0:00,Amy,Duncan,4/7/1979 0:00,763 Northland Place,BLACK JACK,MO,M441253948,11/15/2015 0:00,PACIFIC,300 Hoven Drive
121,518594598,5/29/2015 0:00,Laura,White,,33 Kingsford Hill,KIRKWOOD,MO,H382349511,10/21/2015 0:00,HAZELWOOD,415 Elm Grove Lane
122,457280066,4/26/2015 0:00,Mildred,Sanchez,7/24/1979 0:00,5 Ruskin Way,CHARLACK,MO,Q236890928,9/18/2015 0:00,BLACK JACK,12500 Old Jamestown Road
123,754694631,5/22/2015 0:00,Catherine,Webb,2/17/1985 0:00,06 Village Plaza,GLEN ECHO PARK,MO,H133172362,,BELLEFONTAINE NEIGHBORS,9641 Bellefontaine Road
124,744841015,8/26/2015 0:00,Sara,Mills,6/12/1953 0:00,6 Sommers Park,CREVE COEUR,MO,R736996895,11/24/2015 0:00,WELLSTON,1414 Evergreen
125,503497092,6/4/2015 0:00,Sara,Mills,6/12/1953 0:00,6 Sommers Park,CREVE COEUR,MO,R736996895,9/13/2015 0:00,CLARKSON VALLEY,15933 Clayton Road
126,499634838,6/10/2015 0:00,Sara,Mills,6/12/1953 0:00,6 Sommers Park,CREVE COEUR,MO,R736996895,12/27/2015 0:00,VELDA VILLAGE HILLS,3501 Avondale Avenue
127,940308484,6/30/2015 0:00,Ruth,Banks,10/12/1993 0:00,2513 Red Cloud Trail,MAPLEWOOD,MO,W676459292,10/22/2015 0:00,OLIVETTE,9473 Olive Boulevard
128,491477711,2/19/2015 0:00,Harry,Harris,1/26/1991 0:00,3 Welch Way,KIRKWOOD,MO,I573208604,12/20/2015 0:00,RICHMOND HEIGHTS,7447 Dale Avenue
129,687184480,4/2/2015 0:00,Gary,Ward,8/19/1994 0:00,6922 Maryland Crossing,EDMUNDSON,MO,H742409475,11/22/2015 0:00,CHESTERFIELD,690 Chesterfield Parkway West
130,439498644,1/2/2015 0:00,Ruth,Hansen,11/24/1965 0:00,72368 Sullivan Center,VINITA TERRACE,MO,,11/1/2015 0:00,BERKELEY 2,6140 N Hanley Road
131,157320841,5/20/2015 0:00,Andrew,Mendoza,11/11/1982 0:00,97 Eagle Crest Circle,BEVERLY HILLS,MO,S414744510,11/2/2015 0:00,,
132,146322430,2/13/2015 0:00,Ruth,Hansen,11/24/1965 0:00,72368 Sullivan Center,VINITA TERRACE,MO,,10/14/2015 0:00,PINE LAWN,6250 Steve Marve Avenue
133,177270076,7/19/2015 0:00,Ruth,Hansen,11/24/1965 0:00,72368 Sullivan Center,VINITA TERRACE,MO,,,BEL-RIDGE,8920 Natural Bridge Road
134,846983357,2/5/2015 0:00,Jason,Cruz,11/4/1955 0:00,199 Sutteridge Place,CLAYTON,,U011563356,10/27/2015 0:00,SHREWSBURY,4400 Shrewsbury Avenue
135,357799095,,Christina,Cruz,7/11/1961 0:00,36 Commercial Avenue,CHESTERFIELD,MO,Y656197900,11/7/2015 0:00,VINITA TERRACE,8027 Page Boulevard
136,533054828,3/12/2015 0:00,Evelyn,Johnston,12/17/1994 0:00,62 Lake View Drive,BRECKENRIDGE HILLS,MO,P628779846,12/17/2015 0:00,OAKLAND,1320 W. Lockwood Avenue
137,705505484,7/24/2015 0:00,Lori,Matthews,1/25/1980 0:00,42 Mcbride Point,PASADENA PARK,MO,,12/5/2015 0:00,,
138,46287071,3/2/2015 0:00,Emily,Black,8/24/1970 0:00,868 Green Parkway,EUREKA,MO,,11/27/2015 0:00,UNIVERSITY CITY,975 Pennsylvania Avenue
139,907135259,6/4/2015 0:00,Mary,Foster,10/6/1970 0:00,90816 Steensland Junction,BRECKENRIDGE HILLS,MO,L488347278,9/27/2015 0:00,KIRKWOOD,139 S. Kirkwood Road
140,755540531,9/2/2015 0:00,Robert,Hall,12/12/1971 0:00,,RICHMOND HEIGHTS,MO,R372631867,11/26/2015 0:00,ST. LOUIS CITY,10015 Manchester Road
141,529406739,2/17/2015 0:00,Heather,Perez,3/29/1987 0:00,44 Rieder Drive,ST. GEORGE,MO,B984887436,11/2/2015 0:00,,
142,293935838,7/24/2015 0:00,Jack,Thomas,4/16/1979 0:00,,PACIFIC,MO,N728585991,12/7/2015 0:00,MOLINE ACRES,2449 Chambers Road
143,485707262,1/27/2015 0:00,Theresa,Lane,11/30/1975 0:00,,SYCAMORE HILLS,MO,F949169262,,PASADENA PARK,7615 South Sunset
144,183798777,6/1/2015 0:00,Christina,Ferguson,7/30/1980 0:00,031 Milwaukee Center,CRESTWOOD,MO,,,ROCK HILL,320 West Thornton Avenue
145,13839849,8/27/2015 0:00,Carlos,Moore,3/21/1959 0:00,,BRECKENRIDGE HILLS,MO,C304594897,,KIRKWOOD,139 S. Kirkwood Road
146,988944356,8/11/2015 0:00,Sandra,Hunt,5/29/1973 0:00,0 Eggendart Lane,MANCHESTER,MO,R727617732,12/17/2015 0:00,COUNTRY CLUB HILLS,7422 Eunice Avenue
147,537735901,,Sandra,Hunt,5/29/1973 0:00,0 Eggendart Lane,MANCHESTER,MO,R727617732,9/23/2015 0:00,BLACK JACK,12500 Old Jamestown Road
148,227924499,8/11/2015 0:00,Sandra,Hunt,5/29/1973 0:00,0 Eggendart Lane,MANCHESTER,MO,R727617732,10/7/2015 0:00,SHREWSBURY,4400 Shrewsbury Avenue
